id,caption
7ZymFMmpOa0/00007,you would be issuing orders from above
8UhqkX2VAmo/00001,otherwise millions more will die
akiQuyhXR8o/00011,that doesn't probably happen every day
BImnT7lcLDE/00002,and boy they were like what
dYNc3P4jSt4/00004,she never had to duck and cover under her desk at school
eVFYhbHpfqU/00009,it's more annoying
GMynksvCcUI/00008,why not ask all of the states to do that instead
Li4S1yyrsTI/00003,and you know what else we did
ODLgS00f9BE/00002,we could only think of one way
PbgB2TaYhio/00004,but now check out where they go on our tree of life
QeIrdqU0o9s/00002,I am fascinated by those times when people do not see eye to eye
qWNae7vYK6s/00001,thounsands of woemn started reaching out to me to share their own stories of pain and agony and shame
SFnMTHhKdkw/00003,we can do this
SN7wO06Yz1E/00006,that's what moves you
UAj1hsXp18c/00020,one women gives birth to a baby
UK8ccWSZkic/00001,of those seven have nuclear weapons
V1yW5IsnSjo/00003,which is why that ivy league degree and the wall street job and his bright shiny future
VAJS5J21Rd0/00001,are they attractive
xTkKSJSqUSI/00008,this is a bit of a difficult image to put up on the screen
yMWlkJAqKYU/00001,how is that possible
