filepath,gt,model,transcript
samples/audios/diflow/1580-141084-0002.wav,samples/audios/prompt/1580-141084-0011.wav,diflow,this set of rooms is quite the oldest in the college and it is not unusual for visitors to go over them
samples/audios/valle/237-126133-0022.wav,samples/audios/prompt/237-134493-0015.wav,valle,i didn't have any fears if i worked it rightly said the old gentleman complacently
samples/audios/diflow/2830-3979-0009.wav,samples/audios/prompt/2830-3980-0011.wav,diflow,it presents like no other of luther's writings the central thought of christianity the justification of the sinner for the sake of christ's merits alone
samples/audios/ns2/1284-1180-0002.wav,samples/audios/prompt/1284-1180-0028.wav,ns2,instead of shoes the old man wore boots with turnover tops and his blue coat had wide cuffs of gold braid
samples/audios/f5/2094-142345-0051.wav,samples/audios/prompt/2094-142345-0027.wav,f5,no thank you i'll just look at the whelps and leave a message about them with your shepherd
samples/audios/voicecraft/237-126133-0022.wav,samples/audios/prompt/237-134493-0015.wav,voicecraft,i didn't have any fears if i worked it rightly said the old gentleman complacently
samples/audios/valle/1089-134686-0005.wav,samples/audios/prompt/1089-134686-0037.wav,valle,the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness
samples/audios/voicecraft/121-127105-0000.wav,samples/audios/prompt/121-127105-0005.wav,voicecraft,it was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention
samples/audios/gt/1580-141084-0002.wav,samples/audios/prompt/1580-141084-0011.wav,gt,this set of rooms is quite the oldest in the college and it is not unusual for visitors to go over them
samples/audios/valle/2300-131720-0029.wav,samples/audios/prompt/2300-131720-0037.wav,valle,hence the edison electrolytic meter is no longer used despite its excellent qualities
samples/audios/diflow/1089-134691-0022.wav,samples/audios/prompt/1089-134686-0017.wav,diflow,he stood still in deference to their calls and parried their banter with easy words
samples/audios/oz/2961-961-0021.wav,samples/audios/prompt/2961-961-0009.wav,oz,but i would not speak at the time because i wanted to refresh my memory
samples/audios/oz/260-123286-0002.wav,samples/audios/prompt/260-123286-0013.wav,oz,all my danger and sufferings were needed to strike a spark of human feeling out of him but now that i am well his nature has resumed its sway
samples/audios/f5/1995-1826-0024.wav,samples/audios/prompt/1995-1826-0000.wav,f5,the golden fleece it's the silver fleece he harkened
samples/audios/valle/1580-141084-0002.wav,samples/audios/prompt/1580-141084-0011.wav,valle,this set of rooms is quite the oldest in the college and it is not unusual for visitors to go over them
samples/audios/gt/260-123286-0002.wav,samples/audios/prompt/260-123286-0013.wav,gt,all my danger and sufferings were needed to strike a spark of human feeling out of him but now that i am well his nature has resumed its sway
samples/audios/sparktts/2300-131720-0006.wav,samples/audios/prompt/2300-131720-0005.wav,sparktts,there seems no good reason for believing that it will change
samples/audios/voicecraft/2094-142345-0051.wav,samples/audios/prompt/2094-142345-0027.wav,voicecraft,no thank you i'll just look at the whelps and leave a message about them with your shepherd
samples/audios/ns2/1580-141084-0023.wav,samples/audios/prompt/1580-141084-0002.wav,ns2,in a few hours the examination would commence and he was still in the dilemma between making the facts public and allowing the culprit to compete for the valuable scholarship
samples/audios/sparktts/260-123286-0002.wav,samples/audios/prompt/260-123286-0013.wav,sparktts,all my danger and sufferings were needed to strike a spark of human feeling out of him but now that i am well his nature has resumed its sway
samples/audios/sparktts/2094-142345-0036.wav,samples/audios/prompt/2094-142345-0024.wav,sparktts,nay dear aunt you never heard me say that all people are called to forsake their work and their families
samples/audios/ns2/260-123286-0002.wav,samples/audios/prompt/260-123286-0013.wav,ns2,all my danger and sufferings were needed to strike a spark of human feeling out of him but now that i am well his nature has resumed its sway
samples/audios/oz/1188-133604-0038.wav,samples/audios/prompt/1188-133604-0039.wav,oz,but now here is a subject of which you will wonder at first why turner drew it at all
samples/audios/diflow/1188-133604-0036.wav,samples/audios/prompt/1188-133604-0039.wav,diflow,in both these high mythical subjects the surrounding nature though suffering is still dignified and beautiful
samples/audios/gt/2961-961-0014.wav,samples/audios/prompt/2961-960-0018.wav,gt,nine thousand years have elapsed since she founded yours and eight thousand since she founded ours as our annals record
samples/audios/sparktts/1089-134686-0005.wav,samples/audios/prompt/1089-134686-0037.wav,sparktts,the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness
samples/audios/ns2/121-121726-0001.wav,samples/audios/prompt/121-127105-0028.wav,ns2,harangue the tiresome product of a tireless tongue
samples/audios/gt/1221-135767-0010.wav,samples/audios/prompt/1221-135766-0004.wav,gt,she screamed and shouted too with a terrific volume of sound which doubtless caused the hearts of the fugitives to quake within them
samples/audios/oz/2094-142345-0051.wav,samples/audios/prompt/2094-142345-0027.wav,oz,no thank you i'll just look at the whelps and leave a message about them with your shepherd
samples/audios/gt/260-123440-0011.wav,samples/audios/prompt/260-123440-0020.wav,gt,no i've made up my mind about it if i'm mabel i'll stay down here
